Base,Ensemble,Accuracy,Precision,Recall,F1,ROC AUC
KNN,Bagging,0.683,0.225,0.457,0.301,0.59
LR,Bagging,0.664,0.266,0.709,0.387,0.682
LR,Boosting,0.711,0.285,0.614,0.389,0.671
NB,Bagging,0.825,0.364,0.22,0.275,0.576
NB,Boosting,0.803,0.321,0.283,0.301,0.589
SVC,Bagging,0.693,0.215,0.394,0.278,0.57
SVC,Boosting,0.61,0.24,0.74,0.362,0.663
DT,Bagging,0.781,0.285,0.307,0.295,0.586
DT,Boosting,0.702,0.211,0.362,0.267,0.562
RFC,Singular,0.785,0.28,0.276,0.278,0.575
RFC,Boosting,0.791,0.295,0.283,0.289,0.582
